Date,Location,Temperature (°C),Humidity (%),Rainfall (mm),Soil pH,Soil Moisture (%),Nitrate Level (mg/kg),Phosphorus Level (mg/kg),Potassium Level (mg/kg),Crop Type,Crop Yield (kg/ha),Fertilizer Used (kg/ha),Pesticides Used (kg/ha),Water Usage (L/ha)
02:25.0,Farm D,18.16,72.92,30.33,5.69,33.61,,14.88,23.85,Wheat,3821.05,125.05,9.61,1657.96
02:25.0,Farm B,34.23,67.3,7.27,7.18,10.84,14.04,18.8,22.54,Soybeans,2590.99,109.8,,1126.93
02:25.0,,,64.39,31.38,5.34,11.82,1.08,39.91,44.71,Soybeans,4559.66,182.73,7.83,
02:25.0,,21.72,36.04,31.68,6.47,29.64,38.97,19.85,28.24,Soybeans,4894.38,196.04,2.29,1924.05
02:25.0,Farm D,18.73,,35.76,5.26,21.49,27.8,,42.41,Corn,4065.06,,6.45,1449.15
02:25.0,Farm A,19.43,76.34,43.77,7.83,,35.92,14.95,30.56,Rice,4325.04,53.92,5.59,
,Farm D,27.49,55.48,,6.38,23.6,36.14,16.28,27.46,Corn,3320.9,,2.13,362.3
02:25.0,Farm A,19.89,68.47,7.24,7.81,33.13,15.74,17.07,20.88,Rice,4546.22,91.3,1.3,1072.89
,Farm A,20.85,62.19,5.7,7.35,26.29,22.05,29.18,28.92,Corn,4027.95,89.54,8.7,821.49
02:25.0,Farm A,,,37.96,5.26,11.62,38.87,30.01,41.41,,,192.18,2.77,950.65
,Farm A,26.17,50.7,15.09,5.87,25.75,28.88,32.49,44.22,Corn,4192.28,188.57,9.19,
02:25.0,,22.29,71.6,25.14,6.2,23.42,10.38,14.21,20.11,Soybeans,3777.49,24.68,,724.31
02:25.0,Farm A,23.62,83.48,22.16,5.77,20.9,,7.06,32.68,Corn,1885.95,30.12,9.4,964.27
02:25.0,Farm C,25.48,35.1,34.69,6.66,25.1,29.02,4.77,16.32,Corn,1567.42,43.25,5.75,1238.43
02:25.0,Farm B,16.02,78.02,2.98,7.9,22.44,12.05,5.35,,Corn,1788.45,31.38,,1004.83
02:25.0,Farm B,22.04,,22.45,5.37,18.22,1.96,,12.68,Corn,3467,,7.87,486.12
02:25.0,Farm C,20.38,83.84,42.88,7.23,32.34,42.95,22.25,12.61,Corn,2019.93,75.98,2.17,676.29
,Farm B,15.21,,38.69,,29.46,41.08,29.47,37.69,Wheat,3119.83,165.39,2.6,656.57
02:25.0,Farm C,33.83,54.11,25.02,6.12,10.06,0.15,25.79,3.45,Soybeans,2742.9,64.46,5.24,1949.36
02:25.0,Farm A,20.72,74.19,29.45,5.78,33.8,2.44,3.58,4.45,,1637.6,45.35,9.75,1602.83
02:25.0,Farm B,22,73.93,16.16,5.11,29.59,30.73,29.36,20.4,Soybeans,,179.28,7.02,625.27
02:25.0,Farm C,19.43,54.63,23.88,7.79,15.3,48.74,24.24,6.39,Corn,3007.92,,,1900.71
02:25.0,Farm A,25.26,50.78,7.08,6.76,,,,31.61,Wheat,1241.66,98.06,,1568.19
02:25.0,Farm C,31.79,,17.12,5.6,12.27,25.73,16.96,3.21,Soybeans,1613.85,195.3,5.33,
02:25.0,Farm C,22.72,69.84,6.77,6.79,26.54,32.47,19.22,48.74,Soybeans,3855.97,43.35,,1477.32
02:25.0,Farm C,,55.24,45.36,5.79,10.22,28.39,1.4,41.56,Rice,2487.91,,7.82,166.76
02:25.0,Farm C,26.14,63.6,46.2,,33.89,41.77,16.84,,Rice,2821.96,87.81,7.42,481.75
02:25.0,,,78.66,47.08,7.29,24.42,34.32,9.69,21.03,Rice,1722.98,151.01,7.76,1217.92
02:25.0,Farm C,,75.47,37.46,5.35,24.35,44.94,11.74,49.76,Soybeans,2502.54,142.28,9.86,635.67
02:25.0,Farm A,32.51,37.49,28.23,6.59,,49.21,0.59,13.37,Wheat,,113.48,,1435.12
02:25.0,Farm B,15.3,34.86,2.44,6.23,36.2,1.33,37.35,38.59,Corn,4990.85,130.89,9.12,1403.16
02:25.0,Farm C,22.68,39.93,1.24,6.13,23.88,18.02,35.95,37.6,Soybeans,,42.27,7.23,1405.42
02:25.0,Farm B,21.81,85.7,20.46,6.48,19.78,3.47,7.38,39.74,Soybeans,1181.41,125.66,3.45,1963.09
02:25.0,Farm B,18.46,51.83,38.95,6.43,34.41,8.98,4.55,2.48,,,160.71,1.87,
,Farm B,18.92,79.77,36.43,6.91,33.31,1.84,17.13,41.53,Corn,3331.09,44.71,9.72,1249.64
02:25.0,Farm C,17.19,44.74,2.43,,16.98,6.33,21.11,,Corn,2826.89,182.03,3.35,1624.21
02:25.0,Farm C,28.58,89.79,23.91,5.67,15.69,23.5,20.32,,Corn,,105.95,0.8,299.48
02:25.0,Farm A,19.11,42.27,6.93,7.3,18.01,45.02,29.78,15.2,Corn,4113.07,125.47,2.98,684.36
02:25.0,Farm C,15.52,34.7,28.6,7.24,20.35,1.04,28.61,31.51,Corn,1196.9,182.4,6.79,1298.53
,Farm C,28.11,,,5.81,34.91,24.08,,0.02,Corn,4971.78,118.16,5.41,1243.71
02:25.0,Farm A,30.21,79.45,38.04,5.97,38.05,32.02,,21.65,Soybeans,2286.41,161.18,,1756.75
02:25.0,Farm B,25.08,86.46,17.78,5.25,10.66,49.05,17.25,,Soybeans,3480.44,100.35,,981.09
02:25.0,Farm B,26.76,66.28,,7.64,15.45,28.16,32.26,40.02,Wheat,4866.05,47.64,8.98,291.16
02:25.0,Farm B,34.2,57.93,36.12,5.02,12.6,9.78,28.23,26.94,Corn,4599.63,160.7,6.81,
02:25.0,Farm B,,37.09,27.87,7.41,11.43,42.2,,37.18,Rice,1369.15,9.72,2.75,909.18
02:25.0,Farm D,33.29,61.21,,6.07,20.65,32.58,37.62,35.96,Rice,4025.91,188.99,2.5,432.09
02:25.0,Farm A,,45.47,12.99,7.63,22.73,30.45,24.4,8.88,Rice,1202.57,95.8,,739.29
02:25.0,Farm A,27.79,60.08,13.95,7.39,,39.39,7.15,21.27,Wheat,3171.06,118.28,9.9,1321.17
,Farm D,23.26,32.03,14.54,7.88,27.35,26.29,8.67,21.27,Corn,1661.39,162.4,6.49,1687.15
02:25.0,Farm B,16.63,69.73,,6.56,20.19,5.02,24.73,28.31,Soybeans,2142.63,168.15,6.28,266.58
02:25.0,,,77.6,27.79,6.88,,3.84,,31.67,Wheat,4516.88,47.38,3.01,1467.07
02:25.0,Farm C,19.51,66.72,14.51,7.57,24.51,,34.22,11.08,Rice,1289.76,10.9,6.23,1246.82
02:25.0,Farm D,15.4,88.18,19.1,6.66,22.15,37.63,35.94,40.71,,4526.07,125.97,9.31,280.96
02:25.0,Farm B,32.99,86.89,,6.81,29.2,17.36,38.51,6.43,Wheat,,10.05,4.1,777.67
02:25.0,Farm A,32.43,55.21,,6.97,38.96,,6.34,20.37,Rice,1587.96,48.59,3.66,
,Farm A,15.23,,9.4,,37.55,21.89,1.87,12.41,Corn,1288.45,147.22,0.45,
02:25.0,Farm B,21.09,88.47,22.68,7.99,18.84,19.74,11.85,15.23,Wheat,2758.28,44.54,6.21,1119.08
02:25.0,Farm D,27.07,55.93,,7.65,34.87,37.27,36.17,42.41,Corn,4332.43,4.04,3.73,952.76
02:25.0,Farm A,16.53,52.02,19.64,,24.12,47.64,19.93,,Soybeans,3548.49,134.01,9,415.54
02:25.0,Farm D,16.7,57.27,24.67,7.17,13.55,,6.73,27.09,Corn,1246.09,23.05,0.4,1036.91
02:25.0,,15.88,51.07,5.14,,23.54,27.93,25.13,38.76,Wheat,,,9.58,170.91
02:25.0,Farm B,31.68,41.83,29.05,7.65,18.84,,16.56,13.83,Soybeans,3367.97,148.08,4.99,1812.51
02:25.0,Farm C,15.77,44.64,15.5,6.93,17.07,,5.3,26.73,Wheat,1265.54,54.45,9.3,147.08
02:25.0,Farm A,17.78,72.1,37.97,5.67,,42.43,7.51,1.61,Rice,,42.48,2.16,1217.51
02:25.0,Farm D,20.02,81.02,26.24,5.69,32.42,6.76,26.49,,Corn,4973.56,31.63,8.8,1441.03
02:25.0,Farm B,21.62,77.01,15.91,5.97,,39.41,37.81,33.93,Wheat,2153.87,99.27,0.36,131.56
02:25.0,Farm B,34.04,56.45,38.23,5.19,36.58,2.63,14.05,,Soybeans,4007.65,178.19,,1822.34
02:25.0,Farm C,,,10.98,6.78,30.37,44.37,36.15,43.8,Soybeans,4146.21,,0.09,1583.49
02:25.0,Farm A,16.03,45.65,18.46,7.01,32.21,30.04,,22.37,Wheat,4745.03,199.51,7.18,1431.75
02:25.0,Farm B,34.71,39.33,31.21,6.56,11.64,36.92,30.42,18.04,,2090.24,149.31,3.58,458.91
02:25.0,,17.49,73.79,29.2,7.1,,33.14,17.06,15.54,Corn,2054.57,95.81,3.47,792.47
02:25.0,Farm B,21.97,82.44,23.87,7.92,25.98,12.76,14,38.42,,,177.48,4.56,1485.87
02:25.0,Farm A,19.47,51.84,22.09,7.03,18.14,,19.72,31.79,Wheat,3631.37,31.02,5.08,365.55
02:25.0,Farm A,,,24.23,7.85,32.89,46.49,0.58,24.71,Rice,1484.77,169.03,6.6,403.24
